resultado_prediccion/predict_sin_norma/sin_norma
0,3283959/1,415/1,4
0,25619233/1,199/1,24
0,24087763/1,153/1,05
0,38378492/1,582/1,69
0,22912854/1,118/1,16
0,1217511/0,795/0,8
0,18631092/0,989/0,92
0,20742568/1,052/1,0
0,16297224/0,919/0,95
0,41160405/1,665/1,6
0,8973706/3,123/3,14
0,5050796/1,945/2,0
0,4860543/1,888/1,9
0,4599883/1,81/1,82
0,36296856/1,519/1,59
0,39836782/1,625/1,53
0,29682335/1,321/1,39
0,4242465/1,703/1,68
0,5171291/1,982/2,0
0,47024053/1,841/1,94
0,32434487/1,403/1,52
0,2778535/1,264/1,13
0,35853267/1,506/1,61
0,22623768/1,109/1,14
0,33489662/1,435/1,47
0,1635626/0,921/1,0
0,41870233/1,686/1,76
0,67247605/2,448/2,45
0,6409278/2,353/2,41
0,51646364/1,98/1,98
0,8989653/3,127/3,18
0,3937136/1,611/1,66
0,5759014/2,158/2,24
0,49178317/1,906/1,92
0,3734388/1,551/1,59
0,5741864/2,153/2,21
0,41047937/1,662/1,75
0,096918255/0,721/0,76
0,19429865/1,013/1,09
0,36718214/1,532/1,5
0,20735925/1,052/1,06
0,17027348/0,941/1,0
0,08976209/0,699/0,69
0,099341124/0,728/0,74
0,09820816/0,725/0,76
0,25898755/1,207/1,24
0,285249/1,286/1,5
0,13686615/0,841/0,81
0,26142478/1,214/1,24
0,1893535/0,998/1,06
0,22291951/1,099/1,19
0,22320122/1,1/1,18
0,26427326/1,223/1,2
0,15155047/0,885/1,02
0,38726068/1,592/1,75
0,2996253/1,329/1,55
0,39870942/1,626/1,9
0,7839483/2,782/2,8
0,3259014/1,408/1,65
0,15678066/0,9/0,97
0,23690179/1,141/1,09
0,16416639/0,923/1,1
0,15000015/0,88/1,05
0,15521795/0,896/0,98
0,13932082/0,848/0,74
0,24463949/1,164/1,12
0,20778847/1,053/0,99
0,10803965/0,754/0,81
0,4288955/1,717/1,61
0,271764/1,245/1,4
0,11518368/0,776/0,76
0,16890797/0,937/0,97
0,23018996/1,121/1,12
0,20445609/1,043/1,2
0,086931616/0,691/0,8
0,26787624/1,234/1,38
0,102878064/0,739/1,0
0,14147738/0,855/0,97
0,17159149/0,945/0,98
0,11797461/0,784/0,92
0,16139668/0,914/1,0
0,055557758/0,597/0,5
0,11702198/0,781/0,91
0,16844395/0,935/1,02
0,11283848/0,769/1,0
0,20755962/1,053/0,95
0,13926801/0,848/0,86
0,14203346/0,856/0,83
0,19751722/1,023/0,83
0,10137388/0,734/0,56
0,28610042/1,288/1,1
0,10426548/0,743/0,8
0,17833874/0,965/0,54
0,26546168/1,227/0,81
0,19473305/1,014/0,92
0,18470916/0,984/1,1
0,22199586/1,096/1,2
0,13947156/0,848/0,71
0,14901358/0,877/0,8
0,23390037/1,132/1,08
0,2823043/1,277/0,98
0,10009828/0,73/0,48
0,13249502/0,828/0,76
0,2007901/1,032/1,1
0,2205375/1,092/1,12
0,13718674/0,842/0,96
0,2697608/1,239/1,27
0,30904087/1,357/1,39
0,4683916/1,835/1,98
0,28216964/1,277/1,48
0,37974378/1,569/1,7
0,3798582/1,57/1,68
0,16320312/0,92/1,1
0,1814745/0,975/1,06
0,5390366/2,047/1,97
0,25698403/1,201/1,22
0,13255289/0,828/0,93
0,119713455/0,789/0,91
0,29049763/1,302/1,3
0,18701777/0,991/1,01
0,23216864/1,127/0,93
0,11707932/0,781/0,66
0,3345199/1,434/1,4
0,07944471/0,668/0,64
0,26251844/1,218/1,34
0,24559703/1,167/1,23
0,13022083/0,821/0,91
0,26375574/1,221/1,19
0,1984357/1,025/1,1
0,15944675/0,908/0,93
0,19415218/1,013/1,0
0,39504308/1,615/1,79
0,15999225/0,91/0,92
0,13875729/0,846/0,96
0,078041255/0,664/0,69
0,06104529/0,613/0,63
0,11068401/0,762/0,88
0,20341834/1,04/0,98
0,19098869/1,003/0,93
0,11193311/0,766/0,72
0,15163085/0,885/0,77
0,32797885/1,414/1,43
0,38540456/1,586/1,66
0,17466053/0,954/0,9
0,12181604/0,796/0,76
0,16638777/0,929/1,0
0,028799087/0,516/0,52
0,07237771/0,647/0,61
0,14536014/0,866/0,89
0,05782461/0,604/0,54
0,1246773/0,804/0,78
0,10534316/0,746/0,79
0,15823707/0,905/0,95
0,14819315/0,875/0,85
0,04054922/0,552/0,44
0,044608712/0,564/0,59
0,096321315/0,719/0,72
0,10511866/0,745/0,74
0,20653048/1,05/1,1
0,16007954/0,91/1,0
0,10287398/0,739/0,63
0,096431345/0,719/0,61
0,10299051/0,739/0,7
0,12450749/0,804/0,81
0,13832372/0,845/0,84
0,19115514/1,004/0,96
0,19217819/1,007/0,98
0,1117529/0,765/0,66
0,10480517/0,744/0,61
0,06515765/0,626/0,56
0,20626068/1,049/0,97
0,17896792/0,967/0,95
0,15817967/0,905/0,88
0,115345925/0,776/0,66
0,24654508/1,17/1,12
0,0885708/0,696/0,69
0,81360364/2,871/2,9
0,025000602/0,505/0,51
0,19570202/1,017/0,98
0,19268641/1,008/1,06
0,045130372/0,565/0,7
0,094207615/0,713/0,75
0,062668055/0,618/0,6
0,030878395/0,523/0,43
0,14166489/0,855/0,83
0,10855183/0,756/0,78
0,14421847/0,863/0,89
0,31557804/1,377/1,38
0,005628675/0,447/0,49
0,08232954/0,677/0,71
0,23429509/1,133/1,18
0,984447/3,384/3,43
0,08841959/0,695/0,7
0,06907615/0,637/0,69
0,018302292/0,485/0,49
0,032482237/0,527/0,5
0,053828448/0,592/0,66
0,07191062/0,646/0,64
0,13411573/0,832/0,78
0,07007405/0,64/0,68
0,047719/0,573/0,56
0,04897219/0,577/0,6
0,04787901/0,574/0,54
0,1418576/0,856/0,95
0,17891821/0,967/0,95
0,09752387/0,723/0,66
0,118425846/0,785/0,83
0,1408363/0,853/0,9
0,08840385/0,695/0,66
0,1019648/0,736/0,68
0,07373479/0,651/0,54
0,081066936/0,673/0,76
0,15138161/0,884/0,88
0,23032257/1,121/1,12
0,056287378/0,599/0,65
