resultado_prediccion_normalizado/prediccion_sin_normalizar/cal libre normalizado/cal libre original
0,3286702/1,416/0,32333332/1,4
0,27760527/1,263/0,27/1,24
0,24347758/1,161/0,20666666/1,05
0,40519205/1,646/0,42/1,69
0,23018473/1,121/0,24333334/1,16
0,12614767/0,809/0,123333335/0,8
0,19896191/1,027/0,16333333/0,92
0,21098907/1,063/0,19/1,0
0,20785633/1,054/0,17333333/0,95
0,3523862/1,487/0,39/1,6
0,9157154/3,178/0,9033333/3,14
0,50787604/1,954/0,5233333/2,0
0,46589983/1,828/0,49/1,9
0,46586663/1,828/0,46333334/1,82
0,37735522/1,562/0,38666666/1,59
0,4297111/1,719/0,36666667/1,53
0,30584407/1,348/0,32/1,39
0,4347363/1,734/0,41666666/1,68
0,5260704/2,008/0,5233333/2,0
0,49444276/1,914/0,50333333/1,94
0,3459559/1,468/0,36333334/1,52
0,30819154/1,355/0,23333333/1,13
0,37170854/1,545/0,39333335/1,61
0,24592292/1,168/0,23666666/1,14
0,35766175/1,503/0,34666666/1,47
0,17921497/0,968/0,19/1,0
0,46011093/1,811/0,44333333/1,76
0,70732737/2,552/0,67333335/2,45
0,63766134/2,343/0,66/2,41
0,53242314/2,028/0,51666665/1,98
0,9248548/3,205/0,9166667/3,18
0,3995238/1,629/0,41/1,66
0,59443915/2,214/0,60333335/2,24
0,492718/1,908/0,49666667/1,92
0,38105947/1,573/0,38666666/1,59
0,5990058/2,227/0,5933333/2,21
0,44158953/1,755/0,44/1,75
0,117632985/0,783/0,11/0,76
0,19305325/1,009/0,22/1,09
0,3603702/1,511/0,35666665/1,5
0,20668554/1,05/0,21/1,06
0,17136729/0,944/0,19/1,0
0,085087/0,685/0,086666666/0,69
0,11525723/0,776/0,10333333/0,74
0,1510769/0,883/0,11/0,76
0,26296437/1,219/0,27/1,24
0,2870542/1,291/0,35666665/1,5
0,18734314/0,992/0,12666667/0,81
0,27966923/1,269/0,27/1,24
0,2321237/1,126/0,21/1,06
0,24431986/1,163/0,25333333/1,19
0,2544378/1,193/0,25/1,18
0,33645725/1,44/0,25666666/1,2
0,17192458/0,946/0,19666667/1,02
0,38686866/1,591/0,44/1,75
0,31455654/1,374/0,37333333/1,55
0,41477865/1,675/0,49/1,9
0,79968756/2,829/0,79/2,8
0,30509168/1,345/0,40666667/1,65
0,1594218/0,908/0,18/0,97
0,22909535/1,117/0,22/1,09
0,17305325/0,949/0,22333333/1,1
0,16923481/0,938/0,20666666/1,05
0,15798831/0,904/0,18333334/0,98
0,16370459/0,921/0,10333333/0,74
0,2515285/1,185/0,23/1,12
0,2339853/1,132/0,18666667/0,99
0,15188812/0,886/0,12666667/0,81
0,42030233/1,691/0,39333335/1,61
0,27716708/1,262/0,32333332/1,4
0,131944/0,826/0,11/0,76
0,17523925/0,956/0,18/0,97
0,25899068/1,207/0,23/1,12
0,2222881/1,097/0,25666666/1,2
0,108368784/0,755/0,123333335/0,8
0,27164295/1,245/0,31666666/1,38
0,10473657/0,744/0,19/1,0
0,121612966/0,795/0,18/0,97
0,17356996/0,951/0,18333334/0,98
0,15309273/0,889/0,16333333/0,92
0,15091415/0,883/0,19/1,0
0,097625226/0,723/0,023333333/0,5
0,17965585/0,969/0,16/0,91
0,16953701/0,939/0,19666667/1,02
0,121277586/0,794/0,19/1,0
0,21451284/1,074/0,17333333/0,95
0,17089689/0,943/0,14333333/0,86
0,15473843/0,894/0,13333334/0,83
0,21596035/1,078/0,13333334/0,83
0,13385323/0,832/0,043333333/0,56
0,3005802/1,332/0,22333333/1,1
0,15175712/0,885/0,123333335/0,8
0,17295308/0,949/0,036666665/0,54
