resultado_calidad/cal libre normalizado/cal libre original
0,3286702/0,32333332/1,4
0,27760527/0,27/1,24
0,24347758/0,20666666/1,05
0,40519205/0,42/1,69
0,23018473/0,24333334/1,16
0,12614767/0,123333335/0,8
0,19896191/0,16333333/0,92
0,21098907/0,19/1,0
0,20785633/0,17333333/0,95
0,3523862/0,39/1,6
0,9157154/0,9033333/3,14
0,50787604/0,5233333/2,0
0,46589983/0,49/1,9
0,46586663/0,46333334/1,82
0,37735522/0,38666666/1,59
0,4297111/0,36666667/1,53
0,30584407/0,32/1,39
0,4347363/0,41666666/1,68
0,5260704/0,5233333/2,0
0,49444276/0,50333333/1,94
0,3459559/0,36333334/1,52
0,30819154/0,23333333/1,13
0,37170854/0,39333335/1,61
0,24592292/0,23666666/1,14
0,35766175/0,34666666/1,47
0,17921497/0,19/1,0
0,46011093/0,44333333/1,76
0,70732737/0,67333335/2,45
0,63766134/0,66/2,41
0,53242314/0,51666665/1,98
0,9248548/0,9166667/3,18
0,3995238/0,41/1,66
0,59443915/0,60333335/2,24
0,492718/0,49666667/1,92
0,38105947/0,38666666/1,59
0,5990058/0,5933333/2,21
0,44158953/0,44/1,75
0,117632985/0,11/0,76
0,19305325/0,22/1,09
0,3603702/0,35666665/1,5
0,20668554/0,21/1,06
0,17136729/0,19/1,0
0,085087/0,086666666/0,69
0,11525723/0,10333333/0,74
0,1510769/0,11/0,76
0,26296437/0,27/1,24
0,2870542/0,35666665/1,5
0,18734314/0,12666667/0,81
0,27966923/0,27/1,24
0,2321237/0,21/1,06
0,24431986/0,25333333/1,19
0,2544378/0,25/1,18
0,33645725/0,25666666/1,2
0,17192458/0,19666667/1,02
0,38686866/0,44/1,75
0,31455654/0,37333333/1,55
0,41477865/0,49/1,9
0,79968756/0,79/2,8
0,30509168/0,40666667/1,65
0,1594218/0,18/0,97
0,22909535/0,22/1,09
0,17305325/0,22333333/1,1
0,16923481/0,20666666/1,05
0,15798831/0,18333334/0,98
0,16370459/0,10333333/0,74
0,2515285/0,23/1,12
0,2339853/0,18666667/0,99
0,15188812/0,12666667/0,81
0,42030233/0,39333335/1,61
0,27716708/0,32333332/1,4
0,131944/0,11/0,76
0,17523925/0,18/0,97
0,25899068/0,23/1,12
0,2222881/0,25666666/1,2
0,108368784/0,123333335/0,8
0,27164295/0,31666666/1,38
0,10473657/0,19/1,0
0,121612966/0,18/0,97
0,17356996/0,18333334/0,98
0,15309273/0,16333333/0,92
0,15091415/0,19/1,0
0,097625226/0,023333333/0,5
0,17965585/0,16/0,91
0,16953701/0,19666667/1,02
0,121277586/0,19/1,0
0,21451284/0,17333333/0,95
0,17089689/0,14333333/0,86
0,15473843/0,13333334/0,83
0,21596035/0,13333334/0,83
0,13385323/0,043333333/0,56
0,3005802/0,22333333/1,1
0,15175712/0,123333335/0,8
0,17295308/0,036666665/0,54
0,28533268/0,12666667/0,81
0,23543428/0,16333333/0,92
0,17867857/0,22333333/1,1
0,24624678/0,25666666/1,2
0,16263716/0,093333334/0,71
0,19118272/0,123333335/0,8
0,24077481/0,21666667/1,08
0,25302514/0,18333334/0,98
0,101895586/0,016666668/0,48
0,16532253/0,11/0,76
0,21238415/0,22333333/1,1
0,21904327/0,23/1,12
0,15229945/0,17666666/0,96
0,35299122/0,28/1,27
0,30847934/0,32/1,39
0,47672817/0,51666665/1,98
0,2776638/0,35/1,48
0,41230032/0,42333335/1,7
0,36047894/0,41666666/1,68
0,19662984/0,22333333/1,1
0,20618598/0,21/1,06
0,54405427/0,5133333/1,97
0,29690897/0,26333332/1,22
0,133807/0,16666667/0,93
0,16252698/0,16/0,91
0,31653067/0,29/1,3
0,19022506/0,19333333/1,01
0,1923868/0,16666667/0,93
0,15116628/0,07666667/0,66
0,33081287/0,32333332/1,4
0,06738281/0,07/0,64
0,30100697/0,30333334/1,34
0,2940417/0,26666668/1,23
0,13752824/0,16/0,91
0,24506472/0,25333333/1,19
0,19586861/0,22333333/1,1
0,18819112/0,16666667/0,93
0,23809381/0,19/1,0
0,38860452/0,45333335/1,79
0,17292818/0,16333333/0,92
0,15676491/0,17666666/0,96
0,12889974/0,086666666/0,69
0,10292336/0,06666667/0,63
0,15984201/0,15/0,88
0,21057254/0,18333334/0,98
0,22291237/0,16666667/0,93
0,12964286/0,096666664/0,72
0,13396728/0,11333334/0,77
0,34930772/0,33333334/1,43
0,38201594/0,41/1,66
0,19078971/0,15666667/0,9
0,12642637/0,11/0,76
0,17149927/0,19/1,0
0,049545765/0,03/0,52
0,07900056/0,06/0,61
0,16126135/0,15333334/0,89
0,10248989/0,036666665/0,54
0,13365126/0,11666667/0,78
0,114657015/0,12/0,79
0,15044114/0,17333333/0,95
0,1765626/0,14/0,85
