"%O2"/"%NO"/"%CO"/"BTZ (°C)"/"FCC (T/h)"/"AH (T/h)"/"AMP"/"CIM (t)"/"CG (T/h)"/"RPM"/"BET (°C)"/"% CO2"/"% C3S"/"% C3A"/"% C2S"/"% C4AF"/"% CaO(l)"/"Prediccion Cal"/"Calificacion real"/"Calificacion predicha"/"fecha_hora"
4.3449/1081.2/0.0689/1439.98/7.0128/153.378005981445/243.96/0.00001333333/0.01474667/2.8328/568.400024414063/12.99306/61.0/8.1/17.6/8.1/1.61/1.506/Regular/Regular/2010-10-06 08:31:00.000
4.7775/1395.8/0.0745/1552.82/7.8/150.462005615234/253.6025/0.0/0.0161583349108696/2.82159996032715/578.4/13.0312/62.7/8.5/15.7/8.1/1.14/1.109/Regular/Regular/2010-10-06 12:33:00.000
4.4478/1118.6/0.0637/1446.14/8.0016/150.839996337891/193.515/0.0/0.017616668716073/2.82159996032715/569.5/13.65148/63.0/8.1/15.4/8.3/1.47/1.435/Regular/Regular/2010-10-06 16:11:00.000
4.368/940.2/0.0497/1408.34/6.5939998626709/150.948/237.12/0.028/0.007011667/2.82159996032715/559.5/14.98741/65.5/8.0/13.6/8.3/1.0/0.921/Alta/Alta/2010-10-06 20:48:00.000
4.7607/1017.0/0.0493000000715256/1430.46/6.55800008773804/154.115997314453/226.1/0.02849333/0.005821667/2.82159996032715/567.299987792969/13.70718/60.8/7.9/17.0/8.3/1.76/1.686/Regular/Regular/2010-10-07 00:33:00.000
4.6956/1213.6/0.0388000011444092/1550.23/6.69360017776489/152.352005004883/192.47/0.02797334/0.0079234167933464/2.82159996032715/574.0/13.50195/60.9/7.8/16.3/8.0/2.45/2.448/Baja/Baja/2010-10-07 04:06:00.000
4.6074/1381.2/0.0553/1574.24/6.7464/156.24/214.89/0.03293334/0.0118066677823663/2.81640005111694/571.7/13.57595/58.9/8.2/19.3/8.0/2.41/2.353/Baja/Baja/2010-10-07 08:34:00.000
4.2525/1052.0/0.0824/1486.88/6.8076000213623/155.412002563477/197.0775/0.01973333/0.0106166675686836/2.81640005111694/559.5/13.99176/60.2/8.1/18.3/8.0/1.98/1.98/Regular/Regular/2010-10-07 12:07:00.000
3.8556/587.4/0.0853/953.9/6.9636/146.429992675781/204.1075/0.01981333/0.007093334/2.6416/579.5/13.53857/53.1/8.2/24.2/8.3/3.18/3.127/Baja/Baja/2010-10-07 16:15:00.000
3.864/1263.4/0.0708/1599.16/7.0452/154.169998168945/195.415/0.02473333/0.0059733334928751/2.80719995498657/566.2/14.10239/61.4/8.2/17.7/8.2/1.66/1.611/Regular/Regular/2010-10-07 20:00:00.000
3.3621/1540.0/0.1253/1597.61999511719/6.77880001068115/152.856/232.085/0.03290667/0.0050575002096593/2.80719995498657/575.1/13.57595/61.4/8.1/17.1/8.0/2.24/2.158/Baja/Baja/2010-10-08 00:13:00.000
